Title: S-VLAN
Created: 07/15/2014 12:12:02
Number of Records: 223

Bridge,VLAN,Desc,AppMode,L2RlyMode,Option82,NumPrio,IgmpMode,StbRlyArp
N101-1-VB7 (UTICA_258_2),765,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),766,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),767,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),768,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),769,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),770,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),771,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),772,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),773,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),774,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),775,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),776,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),777,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),778,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),779,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),780,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),781,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),782,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),783,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),784,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),785,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),786,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),787,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),788,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),789,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),790,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),791,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),792,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),793,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),794,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),795,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),796,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),797,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),798,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),799,,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),1001,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2001,Digestive Disease,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2002,Digestive disease,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2003,NEWTEST,VLAN Per Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2006,Centrex 30 Campion Rd,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2011,Centrex 30 Campion Rd,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2016,Centrex 30 Campion Rd,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2018,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2020,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2022,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2024,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),2026,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3011,Centrex Labs N James,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3016,Centrex Labs Black River Blvd,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3021,UCP - MA Polce,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3026,Centrex Labs,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3072,C7 Subs TDM Voice,Routed,RELAY,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3501,Centrex - Regional Cancer,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3506,,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),3511,Centrex - John Brock,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),4001,Steve Test,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),4005,Steve test 4005,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),4006,Steve test 4006,Transparent LAN Service,NONE,NONE,1,None,N
N101-1-VB7 (UTICA_258_2),4007,Steve test 4007,Transparent LAN Service,NONE,NONE,1,None,N
